Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF7A-A549-Nt	NP_066272.1	PDLIM1	4	4	4.00	1	12|20|0	0.00	0.00	0.00	0.00	0.00	-56.38	0.25	0.54
ORF7A-A549-Nt	NP_066953.1	PPIA	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.19	40.00	0.00
ORF7A-A549-Nt	NP_066964.1	XRCC5	5	5	5.00	1	31|29|0	0.00	0.00	0.00	0.00	0.00	-113.60	0.17	0.54
ORF7A-A549-Nt	NP_066972.1	COTL1	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.20	40.00	0.00
ORF7A-A549-Nt	NP_689419.2	SNX6	6	6	6.00	1	8|6|0	0.00	0.00	0.00	0.00	0.00	-16.45	0.86	0.36
ORF7A-A549-Nt	NP_067640.2	SENP2	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.86	50.00	0.00
ORF7A-A549-Nt	NP_068749.3	RINT1	38	38	38.00	1	6|10|0	1.00	1.00	1.00	1.00	1.00	19.81	4.75	0.00
ORF7A-A549-Nt	NP_068812.1	SLC22A3	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
ORF7A-A549-Nt	NP_071349.3	UBE2O	4	4	4.00	1	6|3|0	0.00	0.00	0.00	0.00	0.00	-10.57	0.89	0.29
ORF7A-A549-Nt	NP_071358.1	CERS2	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.12	70.00	0.00
ORF7A-A549-Nt	NP_071496.1	EIF4H	5	5	5.00	1	4|6|0	0.00	0.00	0.00	0.00	0.00	-10.86	1.00	0.30
ORF7A-A549-Nt	NP_071741.2	NCAPG	3	3	3.00	1	10|9|0	0.00	0.00	0.00	0.00	0.00	-32.01	0.32	0.54
ORF7A-A549-Nt	NP_071757.4	MMS19	11	11	11.00	1	9|8|0	0.00	0.00	0.00	0.00	0.00	-14.44	1.29	0.34
ORF7A-A549-Nt	NP_071760.2	DNAJC1	47	47	47.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	70.94	470.00	0.00
ORF7A-A549-Nt	NP_071922.2	NDRG3	5	5	5.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-9.11	1.11	0.26
ORF7A-A549-Nt	NP_073572.2	ACBD3	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.20	40.00	0.00
ORF7A-A549-Nt	NP_073581.2	C16orf58	20	20	20.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	31.79	200.00	0.00
ORF7A-A549-Nt	NP_073739.3	YTHDC2	11	11	11.00	1	21|15|0	0.00	0.00	0.00	0.00	0.00	-49.24	0.61	0.54
ORF7A-A549-Nt	NP_075053.2	SLC30A5	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.48	30.00	0.00
ORF7A-A549-Nt	NP_075385.1	MARCKSL1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF7A-A549-Nt	NP_075566.2	PYCR3	6	6	6.00	1	3|2|0	0.30	0.30	0.30	0.30	0.30	-0.85	2.40	0.04
ORF7A-A549-Nt	NP_076424.1	DDRGK1	26	26	26.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	14.56	26.00	0.00
ORF7A-A549-Nt	NP_076997.1	TMEM109	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.70	80.00	0.00
