Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF6-A549-Nt	NP_001257655.1	BCL2L13	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF6-A549-Nt	NP_001257904.1	IST1	10	10	10.00	1	13|16|0	0.00	0.00	0.00	0.00	0.00	-37.66	0.69	0.46
ORF6-A549-Nt	NP_001258664.1	COPZ1	6	6	6.00	1	0|3|0	0.80	0.80	0.80	0.80	0.80	1.39	4.00	0.01
ORF6-A549-Nt	NP_003655.3	AP3B1	26	26	26.00	1	31|29|0	0.00	0.00	0.00	0.00	0.00	-68.69	0.87	0.51
ORF6-A549-Nt	NP_001258898.1	HSP90AB1	46	46	46.00	1	33|33|5	0.00	0.00	0.00	0.00	0.00	-50.34	1.39	0.49
ORF6-A549-Nt	NP_001017963.2	HSP90AA1	38	38	38.00	1	23|21|0	0.00	0.00	0.00	0.00	0.00	-23.58	1.73	0.41
ORF6-A549-Nt	NP_001258928.1	DOCK7	21	21	21.00	1	22|12|0	0.00	0.00	0.00	0.00	0.00	-29.69	1.24	0.44
ORF6-A549-Nt	NP_001264.2	CHD4	5	5	5.00	1	39|25|0	0.00	0.00	0.00	0.00	0.00	-121.78	0.16	0.54
ORF6-A549-Nt	NP_001316.1	CSTF2	6	6	6.00	1	29|28|0	0.00	0.00	0.00	0.00	0.00	-104.15	0.21	0.54
ORF6-A549-Nt	NP_001393.1	EEF1A1	23	23	23.00	1	19|21|19	0.00	0.00	0.00	0.00	0.00	-37.57	1.15	0.46
ORF6-A549-Nt	NP_001419.1	ENO1	6	6	6.00	1	9|10|0	0.00	0.00	0.00	0.00	0.00	-25.69	0.63	0.54
ORF6-A549-Nt	NP_001485.2	GDI2	3	3	3.00	1	0|2|0	0.57	0.57	0.57	0.57	0.57	0.29	3.00	0.02
ORF6-A549-Nt	NP_001611.1	AHNAK	453	453	453.00	1	1093|916|0	0.00	0.00	0.00	0.00	0.00	-inf	0.45	0.54
ORF6-A549-Nt	NP_001646.2	ARCN1	62	62	62.00	1	19|16|0	1.00	1.00	1.00	1.00	1.00	20.58	3.54	0.00
ORF6-A549-Nt	NP_001658.2	ARL2	4	4	4.00	1	6|8|0	0.00	0.00	0.00	0.00	0.00	-19.82	0.57	0.54
ORF6-A549-Nt	NP_001672.1	ATP2A2	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.24	90.00	0.00
ORF6-A549-Nt	NP_001744.2	CAV1	18	18	18.00	1	4|5|0	1.00	1.00	1.00	1.00	1.00	7.40	4.00	0.00
