Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF3B-A549-Nt	P33993	MCM7	6|6	12	6.00	2	0|0|6|4	0.00	0.00	0.00	0.00	0.00	-9.53	1.20	0.32
ORF3B-A549-Nt	Q9Y5S2	CDC42BPB	4|0	4	2.00	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.05	20.00	0.05
ORF3B-A549-Nt	P04264	KRT1	230|74	304	152.00	2	156|103|73|113	0.00	0.00	0.00	0.00	0.00	-381.68	1.13	0.53
ORF3B-A549-Nt	P08670	VIM	67|71	138	69.00	2	14|0|170|160	0.00	0.00	0.00	0.00	0.00	-520.37	0.42	0.55
ORF3B-A549-Nt	P05787	KRT8	78|65	143	71.50	2	45|13|130|134	0.00	0.00	0.00	0.00	0.00	-391.09	0.54	0.55
ORF3B-A549-Nt	P04259	KRT6B	81|0	81	40.50	2	0|49|17|0	0.00	0.00	0.00	0.00	0.00	-145.15	1.23	0.41
ORF3B-A549-Nt	P02538	KRT6A	74|0	74	37.00	2	41|48|0|0	0.00	0.00	0.00	0.00	0.00	-197.97	0.83	0.49
ORF3B-A549-Nt	P35908	KRT2	50|37	87	43.50	2	77|78|61|30	0.00	0.00	0.00	0.00	0.00	-232.28	0.56	0.55
ORF3B-A549-Nt	P08729	KRT7	58|55	113	56.50	2	0|0|68|74	0.00	0.00	0.00	0.00	0.00	-172.77	0.80	0.54
ORF3B-A549-Nt	P13647	KRT5	53|16	69	34.50	2	61|45|15|21	0.00	0.00	0.00	0.00	0.00	-180.40	0.65	0.52
ORF3B-A549-Nt	Q14533	KRT81	31|37	68	34.00	2	0|0|58|59	0.00	0.00	0.00	0.00	0.00	-168.96	0.58	0.53
ORF3B-A549-Nt	P19013	KRT4	25|0	25	12.50	2	0|9|0|0	0.48	0.95	0.47	0.95	0.48	-18.28	2.78	0.17
ORF3B-A549-Nt	Q14847	LASP1	11|8	19	9.50	2	0|0|31|28	0.00	0.00	0.00	0.00	0.00	-102.85	0.32	0.55
ORF3B-A549-Nt	Q15365	PCBP1	20|21	41	20.50	2	0|0|35|32	0.00	0.00	0.00	0.00	0.00	-92.19	0.61	0.51
ORF3B-A549-Nt	Q15366	PCBP2	13|13	26	13.00	2	0|0|21|17	0.00	0.00	0.00	0.00	0.00	-49.48	0.68	0.48
ORF3B-A549-Nt	P49792	RANBP2	66|59	125	62.50	2	0|0|126|137	0.00	0.00	0.00	0.00	0.00	-402.13	0.48	0.55
ORF3B-A549-Nt	O75410	TACC1	23|25	48	24.00	2	0|0|27|28	0.00	0.00	0.00	0.00	0.00	-64.45	0.87	0.50
ORF3B-A549-Nt	Q9Y490	TLN1	55|50	105	52.50	2	0|0|139|126	0.00	0.00	0.00	0.00	0.00	-426.87	0.40	0.55
ORF3B-A549-Nt	P55786	NPEPPS	3|7	10	5.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	50.00	0.00
ORF3B-A549-Nt	O75376	NCOR1	55|57	112	56.00	2	0|0|41|41	0.00	0.00	0.00	0.00	0.00	-65.58	1.37	0.50
ORF3B-A549-Nt	Q96PK6	RBM14	22|24	46	23.00	2	0|0|16|18	0.00	0.00	0.00	0.00	0.00	-28.71	1.35	0.44
ORF3B-A549-Nt	Q15436	SEC23A	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.98	0.49	-0.78	10.00	0.11
ORF3B-A549-Nt	P78371	CCT2	14|10	24	12.00	2	0|0|12|14	0.00	0.00	0.00	0.00	0.00	-31.98	0.92	0.44
ORF3B-A549-Nt	Q96HC4	PDLIM5	6|10	16	8.00	2	0|0|19|17	0.00	0.00	0.00	0.00	0.00	-59.94	0.44	0.48
ORF3B-A549-Nt	P11142	HSPA8	45|46	91	45.50	2	5|0|37|33	0.00	0.00	0.00	0.00	0.00	-58.47	1.30	0.49
ORF3B-A549-Nt	P0DMV8	HSPA1A	20|19	39	19.50	2	0|0|18|17	0.00	0.00	0.00	0.00	0.00	-34.57	1.11	0.45
ORF3B-A549-Nt	O43865	AHCYL1	16|13	29	14.50	2	0|0|11|11	0.00	0.00	0.00	0.00	0.00	-20.29	1.32	0.39
ORF3B-A549-Nt	Q92598	HSPH1	30|33	63	31.50	2	0|0|52|49	0.00	0.00	0.00	0.00	0.00	-139.05	0.62	0.53
ORF3B-A549-Nt	P34932	HSPA4	24|21	45	22.50	2	0|0|14|15	0.00	0.00	0.00	0.00	0.00	-20.58	1.55	0.39
ORF3B-A549-Nt	Q12802	AKAP13	38|35	73	36.50	2	0|0|89|90	0.00	0.00	0.00	0.00	0.00	-285.54	0.41	0.55
ORF3B-A549-Nt	Q9H4M9	EHD1	17|16	33	16.50	2	0|0|13|10	0.00	0.00	0.00	0.00	0.00	-17.61	1.43	0.39
ORF3B-A549-Nt	Q8N3C0	ASCC3	80|64	144	72.00	2	0|0|188|167	0.00	0.00	0.00	0.00	0.00	-579.18	0.41	0.55
ORF3B-A549-Nt	Q8WWM7	ATXN2L	16|15	31	15.50	2	0|0|42|35	0.00	0.00	0.00	0.00	0.00	-123.05	0.40	0.55
ORF3B-A549-Nt	Q9UMZ2	SYNRG	184|193	377	188.50	2	0|0|170|147	0.00	0.00	0.00	0.00	0.00	-292.92	1.19	0.54
ORF3B-A549-Nt	Q6IBS0	TWF2	5|3	8	4.00	2	0|0|15|16	0.00	0.00	0.00	0.00	0.00	-57.38	0.26	0.55
ORF3B-A549-Nt	P38398	BRCA1	57|47	104	52.00	2	0|0|53|52	0.00	0.00	0.00	0.00	0.00	-117.31	0.99	0.52
ORF3B-A549-Nt	Q9UPM8	AP4E1	71|63	134	67.00	2	0|0|34|24	0.00	0.00	0.00	0.00	0.00	-17.63	2.31	0.32
ORF3B-A549-Nt	Q9UHD1	CHORDC1	5|10	15	7.50	2	0|0|8|10	0.00	0.00	0.00	0.00	0.00	-25.74	0.83	0.40
ORF3B-A549-Nt	Q9Y3P9	RABGAP1	4|5	9	4.50	2	0|0|11|5	0.00	0.00	0.00	0.00	0.00	-23.53	0.56	0.42
ORF3B-A549-Nt	Q9UPX8	SHANK2	16|21	37	18.50	2	0|0|54|46	0.00	0.00	0.00	0.00	0.00	-168.22	0.37	0.55
ORF3B-A549-Nt	O75533	SF3B1	90|87	177	88.50	2	0|0|140|127	0.00	0.00	0.00	0.00	0.00	-353.48	0.66	0.54
ORF3B-A549-Nt	P61619	SEC61A1	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.00	15.00	0.07
ORF3B-A549-Nt	Q9UHN6	CEMIP2	96|98	194	97.00	2	0|0|0|5	1.00	1.00	1.00	1.00	1.00	17.26	38.80	0.00
ORF3B-A549-Nt	Q8TBN0	RAB3IL1	9|12	21	10.50	2	0|0|16|15	0.00	0.00	0.00	0.00	0.00	-43.39	0.68	0.46
ORF3B-A549-Nt	Q9NZM1	MYOF	215|224	439	219.50	2	0|0|48|30	1.00	1.00	1.00	1.00	1.00	25.22	5.63	0.00
ORF3B-A549-Nt	Q9ULV4	CORO1C	17|16	33	16.50	2	0|0|31|32	0.00	0.00	0.00	0.00	0.00	-92.37	0.52	0.51
ORF3B-A549-Nt	Q9Y283	INVS	21|19	40	20.00	2	0|0|25|11	0.00	0.00	0.00	0.00	0.00	-35.74	1.11	0.45
ORF3B-A549-Nt	O75575	CRCP	13|9	22	11.00	2	0|0|12|13	0.00	0.00	0.00	0.00	0.00	-31.86	0.88	0.43
ORF3B-A549-Nt	Q9NYL9	TMOD3	19|22	41	20.50	2	0|0|43|48	0.00	0.00	0.00	0.00	0.00	-142.33	0.45	0.55
ORF3B-A549-Nt	Q9UNF1	MAGED2	4|2	6	3.00	2	0|0|11|9	0.00	0.00	0.00	0.00	0.00	-36.70	0.30	0.55
ORF3B-A549-Nt	Q9NZB2	FAM120A	2|6	8	4.00	2	0|0|13|14	0.00	0.00	0.00	0.00	0.00	-51.80	0.30	0.55
ORF3B-A549-Nt	Q9H2G2	SLK	18|13	31	15.50	2	0|0|35|46	0.00	0.00	0.00	0.00	0.00	-136.02	0.38	0.55
ORF3B-A549-Nt	Q9Y2H2	INPP5F	3|5	8	4.00	2	0|0|2|3	0.06	0.10	0.05	0.09	0.06	-5.06	1.60	0.22
ORF3B-A549-Nt	O95208	EPN2	18|15	33	16.50	2	0|0|3|2	1.00	1.00	1.00	1.00	1.00	9.36	6.60	0.00
ORF3B-A549-Nt	Q9Y6I3	EPN1	5|6	11	5.50	2	0|0|3|0	0.74	0.80	0.73	0.79	0.74	0.73	3.67	0.01
ORF3B-A549-Nt	Q6P996	PDXDC1	111|118	229	114.50	2	0|0|9|8	1.00	1.00	1.00	1.00	1.00	105.73	13.47	0.00
ORF3B-A549-Nt	Q9Y2I7	PIKFYVE	11|11	22	11.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	18.22	110.00	0.00
ORF3B-A549-Nt	O15014	ZNF609	11|14	25	12.50	2	0|0|20|18	0.00	0.00	0.00	0.00	0.00	-53.23	0.66	0.48
ORF3B-A549-Nt	Q9UJY4	GGA2	5|4	9	4.50	2	0|0|5|5	0.00	0.00	0.00	0.00	0.00	-12.28	0.90	0.34
ORF3B-A549-Nt	Q9UJY5	GGA1	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.00	15.00	0.07
ORF3B-A549-Nt	A0JNW5	UHRF1BP1L	84|91	175	87.50	2	0|0|62|45	0.00	0.00	0.00	0.00	0.00	-71.44	1.64	0.50
ORF3B-A549-Nt	Q9UPQ9	TNRC6B	18|14	32	16.00	2	0|0|31|24	0.00	0.00	0.00	0.00	0.00	-80.73	0.58	0.51
ORF3B-A549-Nt	Q9Y2D4	EXOC6B	5|5	10	5.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.75	50.00	0.00
ORF3B-A549-Nt	Q14160	SCRIB	31|30	61	30.50	2	0|0|52|54	0.00	0.00	0.00	0.00	0.00	-149.16	0.58	0.53
ORF3B-A549-Nt	Q9NV58	RNF19A	2|2	4	2.00	2	0|0|0|0	0.97	0.97	0.97	0.97	0.97	3.49	20.00	0.00
ORF3B-A549-Nt	Q8NBN3	TMEM87A	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.05	15.00	0.07
ORF3B-A549-Nt	Q9H8Y8	GORASP2	16|15	31	15.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	24.48	155.00	0.00
ORF3B-A549-Nt	Q9NRG9	AAAS	3|2	5	2.50	2	0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.49	25.00	0.00
ORF3B-A549-Nt	Q8N4C8	MINK1	11|10	21	10.50	2	0|0|10|8	0.00	0.00	0.00	0.00	0.00	-17.83	1.17	0.39
ORF3B-A549-Nt	P52948	NUP98	12|15	27	13.50	2	0|0|39|42	0.00	0.00	0.00	0.00	0.00	-138.67	0.33	0.55
ORF3B-A549-Nt	Q9NZC7	WWOX	31|30	61	30.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	46.46	305.00	0.00
ORF3B-A549-Nt	Q7LBC6	KDM3B	16|13	29	14.50	2	0|0|58|59	0.00	0.00	0.00	0.00	0.00	-212.23	0.25	0.55
