Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF8-A549-Nt	Q6ZXV5	TMTC3	3|3	6	3.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	30.00	0.00
ORF8-A549-Nt	Q3MJ13	WDR72	6|5	11	5.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.75	55.00	0.00
ORF8-A549-Nt	Q6PL24	TMED8	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
ORF8-A549-Nt	P00761	P00761	92|81	173	86.50	2	79|48|59|35	0.00	0.00	0.00	0.00	0.00	-126.46	1.25	0.52
ORF8-A549-Nt	P02662	CAS1_BOVIN	11|3	14	7.00	2	2|0|0|0	0.78	1.00	0.77	1.00	0.78	0.16	7.00	0.01
ORF8-A549-Nt	P02663	CASA2_BOVIN	7|0	7	3.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.05	35.00	0.04
ORF8-A549-Nt	P02668	CASK_BOVIN	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
ORF8-A549-Nt	P02769	ALBU_BOVIN	4|2	6	3.00	2	3|0|0|0	0.29	0.49	0.27	0.46	0.29	-2.48	2.00	0.18
ORF8-A549-Nt	Streptavidin	Streptavidin	654|655	1309	654.50	2	369|111|520|557	0.00	0.00	0.00	0.00	0.00	-inf	1.22	0.55
ORF8-A549-Nt	TurboID	TurboID	429|321	750	375.00	2	0|10|1408|1374	0.00	0.00	0.00	0.00	0.00	-inf	0.27	0.55
ORF8-A549-Nt	P0DTC8	ORF8	0|0	0	0.00	2	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.05	0.00	0.55
ORF8-A549-Nt	P00698	LYSC_CHICK	3|3	6	3.00	2	5|4|0|0	0.00	0.00	0.00	0.00	0.00	-12.23	0.67	0.35
ORF8-A549-Nt	P81947	ENSEMBL:ENSBTAP00000016242	21|24	45	22.50	2	5|0|0|0	0.99	0.99	0.99	0.99	0.99	4.15	9.00	0.00
ORF8-A549-Nt	P68366	TUBA4A	19|18	37	18.50	2	0|0|27|35	0.00	0.00	0.00	0.00	0.00	-86.63	0.60	0.51
ORF8-A549-Nt	P04075	ALDOA	6|3	9	4.50	2	3|0|0|0	0.53	0.80	0.54	0.81	0.54	-1.00	3.00	0.02
ORF8-A549-Nt	P25054	APC	6|9	15	7.50	2	0|0|11|12	0.00	0.00	0.00	0.00	0.00	-33.65	0.65	0.44
ORF8-A549-Nt	P13804	ETFA	6|7	13	6.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.45	65.00	0.00
ORF8-A549-Nt	P04150	NR3C1	11|12	23	11.50	2	0|0|39|38	0.00	0.00	0.00	0.00	0.00	-132.61	0.30	0.55
ORF8-A549-Nt	P35527	KRT9	124|150	274	137.00	2	94|59|20|91	0.00	0.00	0.00	0.00	0.00	-147.59	1.48	0.52
ORF8-A549-Nt	P13645	KRT10	97|55	152	76.00	2	87|76|70|43	0.00	0.00	0.00	0.00	0.00	-212.43	0.93	0.53
ORF8-A549-Nt	P05783	KRT18	65|74	139	69.50	2	8|0|189|169	0.00	0.00	0.00	0.00	0.00	-583.01	0.39	0.55
ORF8-A549-Nt	P02533	KRT14	36|27	63	31.50	2	58|43|8|13	0.00	0.00	0.00	0.00	0.00	-145.11	0.62	0.53
ORF8-A549-Nt	P08779	KRT16	22|21	43	21.50	2	35|50|0|12	0.00	0.00	0.00	0.00	0.00	-125.60	0.51	0.55
ORF8-A549-Nt	O77727	K1C15_SHEEP	17|0	17	8.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.05	85.00	0.03
ORF8-A549-Nt	P05165	PCCA	348|370	718	359.00	2	299|235|181|164	0.00	0.00	0.00	0.00	0.00	-445.37	1.34	0.55
ORF8-A549-Nt	P43034	PAFAH1B1	5|3	8	4.00	2	0|0|2|3	0.06	0.10	0.05	0.09	0.06	-5.06	1.60	0.22
ORF8-A549-Nt	Q15149	PLEC	28|14	42	21.00	2	0|0|55|55	0.00	0.00	0.00	0.00	0.00	-194.52	0.38	0.53
ORF8-A549-Nt	O95467	GNAS	3|4	7	3.50	2	0|0|0|2	0.66	0.76	0.65	0.74	0.66	0.21	3.50	0.01
ORF8-A549-Nt	P54277	PMS1	17|22	39	19.50	2	0|0|61|51	0.00	0.00	0.00	0.00	0.00	-190.75	0.35	0.55
ORF8-A549-Nt	P23526	AHCY	13|15	28	14.00	2	3|0|30|32	0.00	0.00	0.00	0.00	0.00	-96.97	0.45	0.55
ORF8-A549-Nt	P00352	ALDH1A1	41|37	78	39.00	2	26|3|37|31	0.00	0.00	0.00	0.00	0.00	-66.79	1.15	0.50
ORF8-A549-Nt	Q07973	CYP24A1	15|14	29	14.50	2	0|0|2|0	1.00	1.00	1.00	1.00	1.00	7.40	14.50	0.00
ORF8-A549-Nt	Q16850	CYP51A1	8|7	15	7.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.05	75.00	0.00
ORF8-A549-Nt	P22102	GART	5|3	8	4.00	2	0|0|10|11	0.00	0.00	0.00	0.00	0.00	-36.27	0.38	0.55
ORF8-A549-Nt	P39023	RPL3	35|31	66	33.00	2	5|0|26|22	0.00	0.00	0.00	0.00	0.00	-40.29	1.38	0.46
ORF8-A549-Nt	P23396	RPS3	8|10	18	9.00	2	5|0|4|3	0.05	0.10	0.05	0.10	0.05	-4.87	2.00	0.22
ORF8-A549-Nt	Q9ULD2	MTUS1	90|82	172	86.00	2	0|0|158|138	0.00	0.00	0.00	0.00	0.00	-419.65	0.58	0.55
ORF8-A549-Nt	Q9UK76	JPT1	4|4	8	4.00	2	0|0|12|14	0.00	0.00	0.00	0.00	0.00	-44.16	0.31	0.55
ORF8-A549-Nt	Q6STE5	SMARCD3	10|9	19	9.50	2	0|0|28|22	0.00	0.00	0.00	0.00	0.00	-81.69	0.38	0.55
